,Unnamed: 0,company,job_title,listing_id,address,employment_type,seniority,min_exp,job_cat,salary_range,salary_unit,date_posted,date_expiry,job_description,avg_salary
31,31,CAMBRIDGE CENTRE FOR ADVANCED RESEARCH AND EDUCATION IN SINGAPORE LTD.,analyst,MCF-2021-0236988,1 CREATE WAY 138602,full time,Professional,1,engineering,"$3,500to$5,500",Monthly,Posted 25 May 2021,Closing on 24 Jun 2021,"Roles & Responsibilities
Who are we?
We are the University of Cambridge’s presence in Singapore, Cambridge CARES. Our activities are sponsored by the National Research Foundation’s CREATE programme. Our first research programme, Cambridge Centre for Carbon Reduction in Chemical Technology (C4T), is a collaboration between University of Cambridge, Nanyang Technological University and National University of Singapore.

Our team is comprised of world-class scientists and engineers working in a vibrant, fast-paced environment with great opportunities for knowledge and skills development.

Who are we looking for?
We are looking for a talented and creative Junior Data Visualisation Analyst to support the J-Park Simulator (JPS) Project for data visualisation. The candidate should be specialised in creating stunning interactive feature with the various sources of data and models.

The JPS project aims at a comprehensive virtualisation of industrial operations, i.e. a hierarchical representation of data and models associated with every entity in an industrial park, in order to exploit synergies for resource, energy, and emissions savings. The overall goal is, using ideas from the Semantic Web, Internet of Things, Industry 4.0, machine learning, artificial intelligence, and statistics, to create an integrated simulation platform and expert system capable of providing quantitative decision support.

The successful candidate will be expected to:
Support the develop of our main software tool (JPS). This will involve keeping abreast of the latest web technologies and supporting design decisions.
Support the development of analytics solutions by conceptualising, designing, developing, documenting and maintaining high-impact visuals that express insights or complex scenarios in intuitive ways
Collaborate with team to understand needs for actionable insights
Integrating efficient 2D and 3D User Interface system
Build a data model of entities which makes use of a geographical information system (GIS)
Support in designing and developing executable programs and browser based applications
Identify, evaluate new technologies and resolve performance and scalability issues
Communicate complex technical concepts during team presentations
Opportunity to participate in research discussions with local industries and partners, overseas universities, and writing reports
Opportunity to write conference / journal papers and reports
What skills will you need?
A good degree in Computer Science, Information Technology and Computer Engineering
Knowledge of tools such as Unity, Unreal, object-oriented programming languages (Java), scripting languages (Python), IDEs (NetBeans, Eclipse), Protégé, TBC and Chrome developer tools
Experience in UX design, CSS, WebGL, shader programming, NodeJS, gaming industry/software engineering/web development using C++/Java, as well as JavaScript/PHP, etc
Some understanding of relational and non-relational database management systems, semantic web and ontologies, HTTP protocol, APIs and data exchange formats such as XHL and JSON (an advantage)
Mathematical and statistical skills, with experience in algorithm and methods development (an advantage)
Strong communication and interpersonal skills to work as part of a dynamic, multidisciplinary team of researchers
What can we offer you?
A stimulating working environment with friendly, highly motivated colleagues
A competitive salary in line with your skills and experience
A one-year contract in the first instance, extendable following a satisfactory performance
Comprehensive medical insurance coverage as part of your employment
Employment under a Research Collaboration Agreement between CARES and Nanyang Technological University (NTU)
Please note that this post is based in Singapore.

To apply, please send your CV and cover letter (summarising the most relevant skills and experience that you have for the position) to recruitment@cares.cam.ac.uk.",4500.0
32,32,HYDROINFORMATICS INSTITUTE PTE. LTD.,data scientist,MCF-2021-0237232,"CINTECH III, 77 Science Park Drive 118256",full time,Senior Executive,7,consulting,"$12,000to$20,000",Monthly,Posted 25 May 2021,Closing on 24 Jun 2021,"Roles & Responsibilities
Chief Data Scientist (Two open positions)

Job Description:

H2i is looking to strengthen its team of data scientists by introducing a role of Chief Data Scientist who is expected to architect, build and maintain innovative products for the water and weather environments.

Chief Data Scientist is a leadership and hands-on position with responsibilities for overseeing activities of the junior data science team ensuring proper execution of duties and alignment with the business’s overall vision. Chief Data Scientist is responsible for the creation of new data sciences capabilities within the company by envisioning and executing strategies that influence improvement of the business’s performance.

Chief Data Scientist is expected to proactively work with other business executives and unit heads across the company in order to provide advanced analytic data modelling systems. Chief Data Scientist will be responsible for design and launch of innovative and complex analytic models, utilizing a blend of contemporary and traditional machine learning techniques, which will be applied to both structured and unstructured data sets.

Chief Data Scientist leads the development of big data capabilities and utilization as well as the coordination of cross-functional analytic initiatives.

Education: Chief Data Scientist has to have MSc or PhD degree in Statistics, Machine Learning, Mathematics, Computer Science, Economics, or any other related quantitative field. A working experience of the same is also acceptable for the position.

Experience: A candidate for this position has to have had at least 7 years of working experience in a data science position, preferably working as a Senior Data Scientist. The candidate for this position will have to be highly proficient and experienced in scripting languages and have rapid prototyping skills, that is, fluency in SQL, Python, Perl, Java, VB and deep learning toolboxes like Tensorflow and PyTorch. In addition to this, chief Data Scientist is expected to poses project management skills and/or capacity to lead a team of data engineers and data scientists to complete projects within time and budget.
The candidate must also have a proven and successful experience track record of leading high-performing data analyst teams leading through the successful performance of advanced quantitative analyses and statistical modelling that positively impact business performance.

Communication Skills: Communication skills will be a necessity for Chief Data Scientist. As a leader she/he must be able to convey important messages and information down the line in order to ensure proper exception of duties by junior data science personnel. Communication skills will also be a necessity for the Head of Data Science and in his collaborative capacity where information must be clearly articulated between the collaborating parties in order to ensure effective,

Interpersonal Skills: A suitable candidate for this position will be a team-builder, be result-oriented, be proactive and self-driven requiring minimal supervision, be open and welcoming to change, be a creative and strategic thinker, have innovative problem-solving skills, be highly organized, have an ability to handle multiple simultaneous tasks prioritize and meet tight deadlines, and demonstrate calmness in times of uncertainty and stress.

People Skills: Chief Data Scientist is a people person who is able to form strong, lasting, and meaningful bonds with others people. This will make him an approachable and trustworthy individual who junior personnel readily follow and who senior Data and Analytics executives and stakeholders trust and who’s insights they give credit to, making execution of his duties that much easier.

About Us

The Hydroinformatics Institute develops and applies technology-enabled, digital solutions to some of the world’s most pressing water-related challenges. Our products and services help clients harness the power of data, advanced analytics, and modelling to unlock insights at the global, regional, and local levels – and in real time. The team’s expertise spans hydrodynamic modelling, water quality modelling of inland and coastal water systems, weather management, and operational management systems.
H2i is SaaS-based, Water-as-a-Service provider behind landmark water management projects in countries including Brunei, Oman, Singapore, Sri Lanka, Philippines, and Vietnam. In 2018, we were named Small Business Rising Star at the Winsemius Awards.",16000.0
33,33,ADECCO PERSONNEL PTE LTD,analyst,MCF-2021-0236825,"SHAW CENTRE, 1 SCOTTS ROAD 228208",full time,Professional,0,information technology,"$1,800to$2,500",Monthly,Posted 25 May 2021,Closing on 24 Jun 2021,"Roles & Responsibilities
Job Description:
Understand business needs and objectives
Develop strategies for effective data analysis and reporting
Select, configure, and implement analytics solutions
Lead and develop a team of data analyst
Oversee all analytics operations to correct discrepancies and ensure quality
Extract reports from multiple sources (e.g. operations, IT, customer feedback)
Build systems to transform raw data into actionable business insights
Keep abreast of industry news and trends
Job Requirement:
Experience in working with NoSQL databases [Elasticsearch]
Proficient in Rest APIs, JSON, XML parsing to handle the streaming data.
Solid experience in data analysis and reporting; Banking industry experience in infrastructure domain is a plus
Knowledge of Excel, Python and SQL; familiarity with business intelligence tools (e.g. Tableau, Arcadia Data, PowerBI, Kibana)
Implementation in Machine learning projects is a plus.",2150.0
34,34,TESCOM (SINGAPORE) SOFTWARE SYSTEMS TESTING PTE LTD.,manager,MCF-2021-0237536,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",full time,Manager,5,information technology,"$5,500to$9,000",Monthly,Posted 25 May 2021,Closing on 24 Jun 2021,"Roles & Responsibilities
5 years of experience in Database Testing
Experience managing test data including creation and mining using data management tools
Coordinate communication with testing services end user and expectations management
Proven experience of testing complex user interfaces
Responsible for servicing test data based on assigned priorities.
Identify and implement optimization for making the test data creation process efficient and faster.
Work directly with the Test Data Analyst on understanding and processing the test data requests.
Automate test data refresh and creation processes.
Automation experience using QTP, Excel Macros or similar tools
Ability to write queries/macros/scripts using tools like SQL, VB, QTP, Selenium and XML
Technical expertise regarding data models, data flow diagrams and database design development
Good understanding of various database technologies (DB2, Teradata, Oracle 10g/11g, SQL server, Big data/Hadoop)
Good understanding of data masking/scrubbing techniques
Proficient in MS Word, Excel, Outlook and PowerPoint.",7250.0
35,35,UNITED OVERSEAS BANK LIMITED,analyst,MCF-2021-0209231,Islandwide,internship/traineeship,Fresh/entry level,0,banking and finance,"$2,500to$3,800",Monthly,Posted 09 May 2021,Closing on 08 Jun 2021,"Roles & Responsibilities
Job Description and Responsibilities
Develop and refine excel macros using VBA for international payments data analytic and reporting.
Extract, Transform and Load monthly transactions data.
Design, Develop and Automate Remittance STP Dashboard using Power BI.
Refine, Maintain and Support existing data generation process.
Elicite and interprete metadata and stakeholder requirement.
Support data request from business.
To manage project related tasks when needed.
Requirements
Fresh Degree Graduates only
VBA Excel Macros programming in banking operations environment
Power BI Data Analytic, Visualization & Dashboard development for international payments or related domains.
Good understanding in project management processes
Proficient in the use of Microsoft Office tools
Ability to capture and document data requirement.
Team player, self-motivated and resourceful

Duration of Traineeship/Attachment Offered: 6 months
Approved Training Allowance
Fresh Graduates --$2,500
Non Mature Mid Career Individuals (Below 40 years old as of 2021) --$3,000
Mature Mid Career Individuals (40 years old and above as of 2021) --$3,800
This position is open for both recent graduates and mid career individuals (mature and non mature). Graduates interested in this position should possess a Bachelor Degree Qualification. Mid career individuals from any qualification level can apply.
Current and former trainees of UOB under the SGUnited programme are not eligible to participate in this programme.",3150.0
36,36,HEALINT PTE. LTD.,analyst,MCF-2021-0172643,"100 PASIR PANJANG, 100 PASIR PANJANG ROAD 118518",full time,Executive,4,information technology,"$5,500to$8,000",Monthly,Posted 24 May 2021,Closing on 23 Jun 2021,"Roles & Responsibilities
Overview of the role
As a Data Analyst, you will be identifying opportunities for data exploitation through in-depth conversations with business stakeholders. You will scope out data analytics projects with clear deliverables that are actionable and impactful, and execute them in close iteration with the stakeholders.

You are a great communicator who can engage stakeholders in sharpening their business problems, obtaining feedback, and sharing findings to influence actionable outcomes. You are dextrous in data manipulation, data modelling, and data visualization, and can identify the most appropriate tools and techniques for each business use case. You are a problem solver with strong analytical skills and can be relied upon to deliver sound data science solutions.

Roles & Responsibilities
You will be responsible for:
Working together with internal teams (e.g.: product, marketing) to understand user behaviour through exploratory data analysis and insights
Leading deep-dive analysis to support data-driven decisions and uncover areas of growth or improvement
Designing, developing, maintaining and improving new and existing reports and dashboards
Participating in the development of machine learning models
Skills
Must have:
At least a Bachelor’s degree in an analytical field (e.g.: Statistics, Computer Science)
Excellent analytical thinking
Proficiency in SQL
Experience building reports/dashboards in any of the major BI tools (e.g.: Tableau, Power BI, Qlik)
For the Data Analyst role at least 2 years, for the Senior Data Analyst role at least 5 years of experience in Analytics / Business Intelligence
Ability to translate business problems into technical solutions
Good command of python and its libraries (e.g.: pandas, scikit-learn)
Good presentation skills to both teammates and a non-technical audience
Attention to detail
Nice to have:
Experience with AWS (e.g.: Redshift, Lambda)
Experience in developing machine learning solutions for production use
Domain knowledge in Healthcare or Public Health
ABOUT HEALINT
Healint is a leading maker of healthcare technology used all over the world. Healint leverages innovative techniques in software, data science, and user experience design to empower people to manage their chronic conditions and diseases. Healint’s first global program - the Migraine Buddy platform and its apps - helps a thriving community of users manages and track their migraines. To date, Migraine Buddy has recorded terabytes of data that helps patients, doctors, and researchers better understand the real-world causes and effects of neurological disorders. We're committed to revolutionizing healthcare technology and are continually looking to add talented people to the Healint team. We promise challenging problems, an opportunity to have a real impact on people's lives, and an environment where you'll learn rapidly from one of the best teams in Singapore.",6750.0
37,37,XYPHER PTE. LTD.,analyst,MCF-2021-0234534,"MOUNTBATTEN SQUARE, 229 MOUNTBATTEN ROAD 398007",temporary,Executive,3,information technology,"$5,000to$7,000",Monthly,Posted 24 May 2021,Closing on 23 Jun 2021,"Roles & Responsibilities
About the role
As a Data Analyst at DATAVLT, you will be reporting to the Head of Data Scientist and Software Engineers who are focused on solving complex business problems,using data science as an underlying technology.

Responsibilities
As our Data Analyst, you will•
· Process confidential data and information according to guidelines
· Help on build innovative data products using cutting edge tools and technologies
· Develop custom data models and algorithms to apply to data sets.
· Undertake pre-processing of structured and unstructured data
· Analyse large amounts of information to discover trends and patterns
· Propose solutions and strategies to business challenges
· Coordinate with different functional teams to implement models and monitor outcomes.

Required Technical and Professional Expertise:
· Proficiency using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
· Have foundational knowledge of data structures and algorithms
· Excellent analytical, interpersonal and communication skills.
· Strong problem-solving skills with an emphasis on product development.
· Experience working with and creating data architectures.
· Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
· Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
· Excellent written and verbal communication skills for coordinating across teams.
· Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Dockers, MySQL, etc.
· Experience visualizing/presenting data for stakeholders using: Tableau, High charts, D3, gg plot, etc.

Good to have
· Minimum 3 years working experience manipulating data sets and building statistical models, has a Master’s in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the software/tools
· Experience with customizing Data Visualization tools
· Have fundamental knowledge of blockchain technology
· Software development experience added advantage
· A drive to learn and master new technologies and techniques. What's in it for you
· Help shape the future of a Data Analytics and Blockchain start-up in Singapore with global aspirations
· Be yourself, be engaged and have fun while you're at it
· Fair remuneration
· Open work culture

Interested Candidate please email to : hr@datavlt.com",6000.0
38,38,DAIMLER SOUTH EAST ASIA PTE. LTD.,analyst,MCF-2021-0235780,"WESTGATE TOWER, 1 GATEWAY DRIVE 608531",full time,Professional,3,information technology,"$6,000to$8,200",Monthly,Posted 24 May 2021,Closing on 23 Jun 2021,"Roles & Responsibilities
Overview
Mining data from primary and secondary sources, then reorganizing data in a format that can be easily read by either human or machine.
Using statistical tools to interpret data sets, paying particular attention to trends and patterns that could be valuable for diagnostic and predictive analytics efforts.
Preparing insights in dashboards and reports for executive leadership that effectively communicate trends, patterns, and predictions using relevant data.
Collaborating with architect, engineers, and organizational leaders to identify opportunities for data improvements, recommend system modifications, and develop policies for data governance.
Creating appropriate documentation that allows stakeholders to understand the steps of the data analysis process and duplicate or replicate the analysis if necessary.
Design, develop and implement standardised regional templates / products together with the Product Owner and assist with regional roll-outs
Investigation and understanding data landscape
Evaluate and improve on existing products
Collaborate with various stakeholders
Build standardised KPI’s that can be reused in various products in the region and the markets
Evaluate the accuracy and quality of data
Ensure that standardized solutions are delivered
Ensure consistency and adherence to Overseas IT landscape
Conduct post-implementation assessment to ensure that required value was delivered

Tasks Description

1. Business Engagement
Align all stakeholders to ensure that business requirements are adequately gathered, defined, documented and communicated
Ensure that all requirements are considered within regional context
Ensure that requirements are reusable and can fit regional roll-outs to try and limit the requirements for market adaptation
2. ITM Engagement
Investigation and understanding sales and marketing data landscape
Develop and implement sales and marketing solutions / products on a regional level
Ensure alignment of the regional and market level IT digital strategy
Maximize synergies across the region and Daimler AG
Maintain constructive engagement with peers across markets, regional teams and headquarter
3. IT Service Delivery
Develop, implement and manage effective operational processes with focus on customer service
Support Product Owner during the testing phase with markets
Adhere to internal processes and procedures, such as the demand and development process
Familiarity with the agile methodology would be an advantage
Handing over solutions / products to support department after implementation has been completed
Strong analysis and troubleshooting skills (i.e. bug fixing and L3 support)
4. IT Solutions Delivery
Ensure fulfilment of market- as well as regional business requirements (quality, time-line and budget) by translating the user stories into deliverable tasks
Design, build and implement BI reporting
Ensure data quality and accuracy for products / solutions delivered
Conduct unit testing and troubleshooting
Develop standardized KPI’s that can be executed in various products / solutions

Qualifications
Possess M+3 Business or IT education qualification
3+ years’ relevant experience, minimum 3 years of work experiences
Experience in Python and R for data analytics (expert). Other languages would be an advantage.
Working understanding for Microsoft Azure
Expert level in Microsoft PowerBI
Strong SQL skills
Data modelling concepts - i.e. entity-relationship models
Specific knowledge in the area of People Management, IT and Process knowledge",7100.0
39,39,ECLOUDVALLEY TECHNOLOGY PTE. LTD.,analyst,MCF-2021-0233817,19 CARPENTER STREET 059908,full time,Executive,3,information technology,"$3,800to$4,500",Monthly,Posted 24 May 2021,Closing on 23 Jun 2021,"Roles & Responsibilities
Do you like helping enterprise clients implement innovative cloud solutions and solve technical problems?
Do you want to be the leader and demonstrate how the emerging technologies (such as A.I., Big Data, Cloud, DevOps) can be applied to businesses?
With business growth and global expansion opportunities, we are looking for a highly motivated Pre-Sales to help accelerate our growing technical team.
This is an excellent opportunity to join a world class technical team, working with some of the best and brightest engineers and account managers while also developing your skills and furthering your career within one of the most innovative and progressive technology young companies in ASEAN.
Job Duties
Build end-to-end data architecture on cloud including data extraction, data transformation and data modeling
Perform high performance data discovery, big data analytics, defining transformation logic and data model
Data mining and statistical techniques to develop insights and transformational outcomes, visualise data and insights
Translating data mining results into a clear business-focused deliverables
Requirements
Overseas work and travelling is expected
Passionate in Data and Analytics; Preferably interested in Cloud Technology
At least 3 years of AWS data related working experience, e.g. Redshift, Glue, EMR
Strongdata analytics experience with proficiency in SQL / Python / R
Hands-on experience with any of the BI Tools (Tableau / Qlik / Alteryx / PowerBI)
Strong communication and presentation skills",4150.0
40,40,KEYRUS SINGAPORE PTE. LTD.,analyst,MCF-2021-0235142,"SIF BUILDING, 96 ROBINSON ROAD 068899",full time,Executive,3,banking and finance,"$4,500to$8,000",Monthly,Posted 24 May 2021,Closing on 23 Jun 2021,"Roles & Responsibilities
Keyrus is an international consulting firm, specializing in the integration of data intelligence and Digital solutions. With over 3000 employees spread across 20 countries, Keyrus continues to deliver on such projects to a wide range of clients from various industries including but not limited to Banking/Finance, Healthcare/pharmaceuticals, FMCG, Oil & Gas, and more.

As part of Keyrus’ solution delivery, we are also in a position to recruit and place technical consultants to complement on existing client projects with their expertise. As such, we seek innovative and agile people to support ambitious and forthcoming technological challenges.
The team in Singapore is currently looking for several Data Analytics Consultants, in order to support our client activities.

Main responsibilities

 Develop automated reports and dashboards using Power BI
 Connect to multiple datasets to bring all the relevant data together in one place and create reports that provide a consolidated view of the different sources
 Creating Power BI reports that represent different findings & insights from the data using interactive charts and maps.
 Work with both functional and technical project personnel, providing in-depth knowledge of BI information delivery/presentation methodology
 Document processes and ensure they are properly followed
 Elaborating project documentations (Design documents, deployment guide etc.)
 Maintenance of existing BI projects Interacting and providing reporting to project managers / managers
 Ensure high standard delivery to production
 Proposing solutions for regarding continuous improvement
 Provide investigation help while fostering knowledge and sharing best practices with team members

Qualifications and Profile

Mandatory

 At least 5 years in software development with thorough knowledge of scripting, data source integration and advanced GUI development in Power BI
 Familiar with any tracking tool like Jira
 Strong BI modelling skills using Analysis services with the ability translate reporting needs to a BI model which can serve the report as well as adhoc analytics
 4+ years of experience in BI tools (tableau, qlikview etc.) with 2+ years’ experience in Power BI with in-depth development experience with recent versions of SQL Server.
 Experience creating calculated measures and columns with DAX in MS Power BI Desktop
 Expert knowledge using advanced calculations using MS Power BI Desktop (Aggregate, Date, Logical, String, Table)
 Strong knowledge of Microsoft SQL Server (2014- 2017), MSSQL, SSRS (2014 and 2017), and SSIS (2014 and 2017)
 You have experience in writing SQL queries and optimisation and knowledge in database engine and data model",6250.0
42,42,CLARKSONS PLATOU ASIA PTE. LIMITED,analyst,MCF-2021-0233918,"SINGAPORE LAND TOWER, 50 RAFFLES PLACE 048623",full time,Executive,1,others,"$3,750to$4,000",Monthly,Posted 24 May 2021,Closing on 23 Jun 2021,"Roles & Responsibilities
Clarksons Platou Asia Pte Limited is recruiting for two permanent positions in its growing team within the research business of the Clarksons Group. The Clarksons Group is the world’s leading provider of integrated shipping services and a FTSE 250 company. Further information about the group can be found here: http://www.clarksons.com. The research business, Clarkson Research, is a leading provider of market intelligence and research to the global maritime transport and offshore & energy industries, with presences in London, Shanghai and Singapore.

Job Description

We are currently offering an opportunity to join our growing research team based in Singapore. The successful candidates will be joining a fast-expanding business offering great opportunities for career progression. His/Her primary responsibilities in the marine market and infrastructure sectors will consist of:

Conduct data collection and maintain data sources relating to the relevant sectors, particularly for the Marine Infrastructure industry; facilitate its transfer to formal databases and subsequent output from those databases.
Manage projects and liaise with internal and external stakeholders to improve the content and quality of formal databases.
Contribute to regular analysis and reports on the key markets, products, and bespoke client projects.
Handle and assist in the management of enquiries on the data and related output in an accurate and timely manner to meet colleagues’ and clients’ requirements.
Investigate new methods and techniques to improve market coverage and manage the implementation of said methods in conjunction with the relevant manager.
Develop and maintain a network of industry contacts for collecting market intelligence.
Observe the requirements of the quality control system and relevant operating procedures, including keeping operating instructions, sources and methodology, and other relevant documentation up to date.
Maintain responsibility for personal development including training, with a view to developing the capability to take increased responsibility.
Candidate Requirements

A recent graduate with a degree in a numerate or analytical subject, or an individual with 1-2 years’ experience in a similar role through internships or previous full-time employment.
Experience in data management, optimisation models or economic/mathematical modelling.
An advanced knowledge of standard software applications, including those used for data storage, analysis and publishing. This includes Microsoft Office, MS Access, SQL and Excel. Experience with geographical information systems is beneficial.
Commercial awareness of the maritime & offshore industries is preferred.
Exceptional literacy and analytical skill, with the ability to analyse and present information in a clear and coherent way.
Excellent communication skills, both written and verbal (English). A second business language is advantageous.
Excellent organisational skills, high level of attention to detail and the ability to manage own workload.
How to Apply

If you feel that you would be able to succeed in this role, please send your resume and covering letter to Mr Johannes Judy at johannes.judy@clarksons.com. Please quote Reference Number CRSL/RES/FMI2105 on all correspondence. Please apply by 11/06/2021.",3875.0
43,43,CLUB 21 PTE. LTD.,analyst,MCF-2021-0234136,"COMO HOUSE, 6B ORANGE GROVE ROAD 258332",full time,Senior Executive,1,information technology,"$4,000to$4,500",Monthly,Posted 24 May 2021,Closing on 23 Jun 2021,"Roles & Responsibilities
Duties & Responsibilities

The incumbent is responsible for working within the information technology group, participating in a team responsible for report generation and data analysis utilizing database management software/tools against various database platforms. In this role the incumbent will assist in the development of automated reports, analytical and management reports, and data definitions across multiple computing environments.

The incumbent will develop technical expertise in data mining and report development methodologies, techniques, and tools to ensure deliverables meet the needs of both internal and external business customers.

Requirements:

Bachelor’s degree in Information Systems or related discipline with at least 1-3 years of experience or equivalent knowledge in mastering database management software/tools, including proficiency in SQL query building and report writing.
Familiarity with MSSQL (2012 and above), advanced MSSQL features (linked servers, dbmail, bcp) to use in automating data delivery, file creation, notifications, Business objects/Crystal Reports Enterprise Server, scheduling reports, Open Database Connectivity (ODBC) creation/usage, Microsoft Access table creation, queries, macros, forms and reports, Visual Basic for Applications (VBA)
Proficient with MSSQL stored procedure creation, job creation, general report automation, MSSQL server tools (SSIS/Integration SVCS, SSRS/Reporting SVCS), Creating & Modifying using Crystal Reports Software.
Familiar with SQL programming and standard MS Office applications required.
Familiar with cursory knowledge of programming and scripting languages (.Net C#, C++, VBS, etc.)
Familiar with Database structure and design
Possess a strong organizational skills with demonstrated attention to detail
Proactive, able to work under tight deadline efficiently and with high quality
Excellent written and oral communication skills
Experience in Retail industry experience is preferred.",4250.0
44,44,PEOPLEBANK SINGAPORE PTE. LTD.,analyst,MCF-2021-0234231,"MANULIFE TOWER, 8 CROSS STREET 048424",full time,Senior Executive,5,banking and finance,"$7,800to$9,500",Monthly,Posted 24 May 2021,Closing on 23 Jun 2021,"Roles & Responsibilities
Responsibilities:
Design, implement, and maintain good governance processes for managing expenditures and risk.
Support in providing recommendations through detailed analysis on marketing campaigns happening regionally across various product groups in the business.
Create actionable insights through data extraction, manipulation and implementation. Focus mainly on creating analyses around spending, investments and effectiveness of the product and marketing teams.
Share the insights with various business partners, stakeholders and teams across the company
Create detailed dashboards, forecasting models, statistical insights to manage productivity of the ongoing campaigns.
Participate in bugets and other business reporting.
Qualifications:
Degree holder, with more than 5 years of relevant work experience within data analytics & reporting
Strong experience in SQL, R or Python, Advanced Excel, Data visualisation tools such as tableau
Prior experience in working on marketing campaigns/marketing department/marketing analytics
Prior financial knowledge is a huge plus
Previous experience in handling bugets vs. actuals and doing modeling/analysis on it is a plus
Strong communication skills and project management skills",8650.0
46,46,JOHNSON CONTROLS (S) PTE. LTD.,analyst,MCF-2021-0214622,31 INTERNATIONAL BUSINESS PARK 609921,full time,Fresh/entry level,1,information technology,"$4,200to$6,200",Monthly,Posted 12 May 2021,Closing on 11 Jun 2021,"Roles & Responsibilities
Who we are
Johnson Controls is the global leader for smart, healthy and sustainable buildings. At Johnson Controls, we’ve been making buildings smarter since 1885, and our capabilities, depth of innovation experience, and global reach have been growing ever since. Today, we offer the world’s largest portfolio of building products, technologies, software, and services; we put that portfolio to work to transform the environments where people live, work, learn and play.

This is where Johnson Controls comes in, helping drive the outcomes that matter most. Through a full range of systems and digital solutions, we make your buildings smarter. A smarter building is safer, more comfortable, more efficient, and, ultimately, more sustainable. Most important, smarter buildings let you focus more intensely on your unique mission. Better for your people. Better for your bottom line. Better for the planet. We’re helping to create a healthy planet with solutions that decrease energy use, reduce waste and make carbon neutrality a reality.

Sustainability is a top priority for our company. We committed to invest 75 percent of new product development R&D in climate-related innovation to develop sustainable products and services. We take sustainability seriously. Achieving net zero carbon emissions before 2040 is just one of our commitments to making the world a better place.

Please visit and follow Johnson Controls Pacific linkedin for recent exciting activities.

JCI Pacific Linkedin: https://www.linkedin.com/company/johnson-controls-australia-pty-ltd/
Career The Power Behind Your Mission
OpenBlue OpenBlue: This is How a Space Comes Alive


What you will do
The Data Analyst will support the identification of sales opportunities through the systematic mining of existing databases, including but not limited to, SMX, SFDC, and other market, customer and transaction databases maintained by Johnson Controls
Support Inside Sales team by providing consolidated leads mined from installed base
Maintain and aggregate various data sources to create consolidated view of sales opportunities, from installed base through to entitlement, pipeline, and current service contracts
Track, analyze and communicate the performance of country sales activities; support country sales lead to prepare sales forecasts and reports for updates to local and regional leadership
Provide analytical support to sales and other selling related activities
How you will do it
Use analytics to support sales function, e.g., through providing transparency on market or customer information, or applying analytics-driven problem-solving to sales challenges, e.g., setting criteria to establish propensity to buy to improve lead quality
Systematically identify sales opportunities to push through to Inside Sales team for lead generation/qualification through rules-based mining of existing databases
Proactively suggest tools/platforms that can improve/automate the process of data gathering, consolidation, analysis, and sharing
Ensure data tools and platforms used by Johnson Controls are up to date
Build and maintain single “source of truth” for country level data, consolidating multiple data sources across installed base, entitlement, SMX, SFDC, customer, transaction, and other databases used and maintained by Johnson Controls
Build and maintain visual dashboards (e.g., on PowerBI or Tableau) to support sales function to track and monitor pipeline and achievement to targets effectively
What we are looking for
Bachelor’s degree in Computer Science, Programming, Data Science, Math, or related field
Advanced knowledge of Excel
Proficiency in advanced analytics and programming tools, e.g., Alteryx, R and Python
Proficiency in visual dashboarding tools, e.g., PowerBI or Tableau
Excellent analytical and problem-solving skills
Detail orientation with ability to see big-picture trends
Demonstrated ability to multi-task and meet established deadlines
Ability to work efficiently as part of a team; ability to manage own tasks with little/no supervision

Diversity & Inclusion
Our dedication to diversity and inclusion starts with our values. We lead with integrity and purpose, focusing on the future and aligning with our customers’ vision for success. Our High-Performance Culture ensures that we have the best talent that is highly engaged and eager to innovate.  Our D&I mission elevates each employee’s responsibility to contribute to our culture. It’s through these contributions that we’ll drive the mindsets and behaviors we need to power our customers’ missions. You have the power. You have the voice. You have the culture in your hands.",5200.0
